rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,4.67,fluctuations
0.06,1.09,0.05,3.98,fluctuations
0.06,1.09,0.05,4.49,fluctuations
0.06,1.09,0.05,6.00,fluctuations
0.06,1.09,0.05,10.50,fluctuations
0.06,1.09,0.05,17.72,fluctuations
0.06,1.09,0.05,25.16,fluctuations
0.06,1.09,0.05,31.63,fluctuations
0.06,1.09,0.05,36.52,fluctuations
0.05,1.09,0.05,43.61,fluctuations
0.06,1.08,0.05,51.33,fluctuations
0.06,1.09,0.05,58.36,fluctuations
0.06,1.09,0.05,45.23,fluctuations
0.06,1.09,0.05,26.37,fluctuations
0.06,1.09,0.05,16.13,fluctuations
0.06,1.09,0.05,10.07,fluctuations
0.06,1.09,0.05,6.53,fluctuations
0.06,1.09,0.05,4.77,fluctuations
0.06,1.09,0.05,3.88,fluctuations
0.06,1.09,0.05,3.44,fluctuations
0.06,1.08,0.05,3.22,fluctuations
0.06,1.09,0.05,3.11,fluctuations
0.06,1.09,0.05,3.56,fluctuations
0.06,1.09,0.05,4.73,fluctuations
0.06,1.09,0.05,6.84,fluctuations
0.06,1.09,0.05,15.57,fluctuations
0.06,1.09,0.05,27.28,fluctuations
0.06,1.09,0.05,33.99,fluctuations
0.06,1.09,0.05,43.15,fluctuations
0.06,1.09,0.05,48.57,fluctuations
0.06,1.09,0.05,57.41,fluctuations
0.06,1.09,0.05,63.26,fluctuations
0.05,1.09,0.05,73.23,fluctuations
0.06,1.09,0.05,79.96,fluctuations
0.06,1.09,0.05,89.41,fluctuations
0.06,1.09,0.05,97.35,fluctuations
0.06,1.09,0.05,105.75,fluctuations
0.06,1.09,0.05,116.93,fluctuations
0.06,1.09,0.05,126.91,fluctuations
0.06,1.09,0.05,135.13,fluctuations
0.06,1.09,0.05,142.79,fluctuations
0.06,1.09,0.05,156.55,fluctuations
0.06,1.09,0.05,160.85,fluctuations
0.06,1.09,0.05,169.00,fluctuations
0.06,1.09,0.05,172.40,fluctuations
0.06,1.09,0.05,173.32,fluctuations
0.06,1.09,0.05,172.84,fluctuations
0.06,1.09,0.05,173.22,fluctuations
0.06,1.09,0.05,172.33,fluctuations
0.06,1.09,0.05,162.77,fluctuations
0.06,1.09,0.05,161.28,fluctuations
0.06,1.09,0.05,162.74,fluctuations
0.06,1.09,0.05,157.57,fluctuations
0.06,1.09,0.05,161.91,fluctuations
0.06,1.09,0.05,173.11,fluctuations
0.06,1.09,0.05,166.80,fluctuations
0.06,1.09,0.05,164.83,fluctuations
0.06,1.09,0.05,166.44,fluctuations
0.05,1.09,0.05,161.94,fluctuations
0.06,1.09,0.05,168.95,fluctuations
0.06,1.09,0.05,161.67,fluctuations
